Scenario,Method,Helo ID,Task ID,Node,Flight Time,Service Time,Total Task Time,Completion Time,Benefit,Remaining Load,Remaining Medical,Remaining Personnel,Status
6helos_7areas_T20_S1,Greedy,1,1,D1,3.7735924528226414,6.0,9.77359245282264,10.0,0.05,450,1,2,Task Executed
6helos_7areas_T20_S1,Greedy,2,4,D1,4.192880503136268,6.0,10.19288050313627,11.0,0.05,600,2,4,Task Executed
6helos_7areas_T20_S1,Greedy,3,16,D1,3.903716330506181,6.0,9.903716330506182,10.0,0.05,328,4,2,Task Executed
6helos_7areas_T20_S1,Greedy,4,7,D3,8.657547285461396,6.0,14.657547285461396,15.0,0.05,300,2,3,Task Executed
6helos_7areas_T20_S1,Greedy,5,8,D2,8.865864328753174,6.0,14.865864328753174,15.0,0.05,278,4,1,Task Executed
6helos_7areas_T20_S1,Greedy,6,3,D2,7.43588621121234,6.0,13.43588621121234,14.0,0.05,500,0,3,Task Executed
6helos_7areas_T20_S1,Greedy,1,13,D3,5.656854249492381,6.0,11.65685424949238,22.0,0.05,300,0,2,Task Executed
6helos_7areas_T20_S1,Greedy,3,17,D2,4.096342732391034,6.0,10.096342732391033,21.0,0.05,178,2,0,Task Executed
6helos_7areas_T20_S1,Greedy,2,15,D6,16.89473582999841,6.0,22.89473582999841,34.0,0.043494576281850106,140,2,2,Task Executed
6helos_7areas_T20_S1,Greedy,6,19,D7,13.598065602774424,6.0,19.598065602774426,34.0,0.04227673674582326,100,0,0,Task Executed
6helos_7areas_T20_S1,Greedy,4,12,D7,10.920164833920776,6.0,16.920164833920776,32.0,0.04160091925669622,70,2,0,Task Executed
6helos_7areas_T20_S1,Greedy,5,5,D6,13.288781583588895,6.0,19.288781583588893,35.0,0.04010919442792909,106,2,0,Task Executed
6helos_7areas_T20_S1,Greedy,3,Idle,Base,7.94870594991664,2.0,9.94870594991664,31.0,0.0,500,5,3,Idle
6helos_7areas_T20_S1,Greedy,1,20,D6,10.0,6.0,16.0,38.0,0.03655292893150024,172,0,1,Task Executed
6helos_7areas_T20_S1,Greedy,3,9,D4,13.773779567249576,6.0,19.773779567249576,51.0,0.008399080743303776,270,4,2,Task Executed
